,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
157,Howl's Moving Castle,2004,1h 59m,PG,Hayao Miyazaki,"Chieko Baishô , Sofî(voice) , Takuya Kimura , Hauru(voice) , Tatsuya Gashûin , Karushifâ(voice) , Akihiro Miwa , Arechi no Majo(voice) , Ryunosuke Kamiki , Marukuru(voice)(as Ryûnosuke Kamiki) , Mitsunori Isaki , Koshô(voice) , Yô Ôizumi , Kakashi no Kabu(voice) , Akio Ôtsuka , Kokuô(voice) , Daijirô Harada , Hin(voice) , Haruko Katô , Sariman(voice) , Jean Simmons , Grandma Sophie(English version)(voice) , Christian Bale , Howl(English version)(voice) , Lauren Bacall , Witch of the Waste(English version)(voice) , Blythe Danner , Madame Suliman(English version)(voice) , Emily Mortimer , Young Sophie(English version)(voice) , Josh Hutcherson , Markl(English version)(voice) , Billy Crystal , Calcifer(English version)(voice) , Jena Malone , Lettie(English version)(voice)","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",158,8.2,"https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
158,Dial M for Murder,1954,1h 45m,PG,Alfred Hitchcock,"Ray Milland , Tony Wendice , Grace Kelly , Margot Wendice , Robert Cummings , Mark Halliday , John Williams , Chief Inspector Hubbard , Anthony Dawson , Charles Swann , Leo Britt , The Storyteller , Patrick Allen , Detective Pearson , George Leigh , Detective Williams , George Alderson , First Detective , Robin Hughes , Police Sergeant O'Brien , Richard Bender , Banquet Member(uncredited) , Robin Sanders Clark , Detective(uncredited) , Jack Cunningham , Bobby Outside Flat(uncredited) , Robert Dobson , Police Photographer(uncredited) , Guy Doleman , Detective(uncredited) , Bess Flowers , Woman Departing Ship(uncredited) , Robert Garvin , Banquet Member(uncredited) , Herschel Graham , Banquet Member(uncredited)",A former tennis star arranges the murder of his adulterous wife.,159,8.2,"https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
159,Gone with the Wind,1939,3h 58m,Passed,Victor Fleming,"Clark Gable , Rhett Butler - Visitor from Charleston , Vivien Leigh , Scarlett O'Hara - Their Daughter , Thomas Mitchell , Gerald O'Hara , Barbara O'Neil , Ellen O'Hara - Gerald's Wife(as Barbara O'Neill) , Evelyn Keyes , Suellen O'Hara - Their Daughter , Ann Rutherford , Carreen O'Hara - Their Daughter , George Reeves , Brent Tarleton - Scarlett's Beau , Fred Crane , Stuart Tarleton - Scarlett's Beau , Hattie McDaniel , Mammy - House Servant , Oscar Polk , Pork - House Servant , Butterfly McQueen , Prissy - House Servant , Victor Jory , Jonas Wilkerson - Field Overseer , Everett Brown , Big Sam - Field Foreman , Howard Hickman , John Wilkes , Alicia Rhett , India Wilkes - John's Daughter , Leslie Howard , Ashley Wilkes - John's Son , Olivia de Havilland , Melanie Hamilton - Wilkes' Cousin , Rand Brooks , Charles Hamilton - Melanie's Brother",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,160,8.2,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,5,190,281_.jpg"
160,V for Vendetta,2005,2h 12m,R,James McTeigue,"Hugo Weaving , V… , Natalie Portman , Evey , Rupert Graves , Dominic , Stephen Rea , Finch , Stephen Fry , Deitrich , John Hurt , Adam Sutler , Tim Pigott-Smith , Creedy , Roger Allam , Lewis Prothero , Ben Miles , Dascomb , Sinéad Cusack , Delia Surridge(as Sinead Cusack) , Natasha Wightman , Valerie , John Standing , Lilliman , Eddie Marsan , Etheridge , Clive Ashborn , Guy Fawkes , Emma Field-Rayner , Guy Fawkes Lover(as Emma Field Rayner) , Ian Burfield , Tweed Coat Fingerman , Mark Phoenix , Willy Fingerman , Alister Mazzotti , Baldy Fingerman","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",161,8.2,"https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
161,Raging Bull,1980,2h 9m,R,Martin Scorsese,"Robert De Niro , Jake La Motta , Cathy Moriarty , Vickie La Motta , Joe Pesci , Joey , Frank Vincent , Salvy , Nicholas Colasanto , Tommy Como , Theresa Saldana , Lenore , Mario Gallo , Mario , Frank Adonis , Patsy , Joseph Bono , Guido , Frank Topham , Toppy , Lori Anne Flax , Irma , Charles Scorsese , Charlie - Man with Como , Don Dunphy , Self - Radio Announcer for Dauthuille Fight , Bill Hanrahan , Eddie Eagan , Rita Bennett , Emma - Miss 48's , James V. Christy , Dr. Pinto , Bernie Allen , Comedian , Floyd Anderson , Jimmy Reeves - Reeves Fight","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",162,8.1,"https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg"
162,Prisoners,2013,2h 33m,R,Denis Villeneuve,"Hugh Jackman , Keller Dover , Jake Gyllenhaal , Detective Loki , Viola Davis , Nancy Birch , Melissa Leo , Holly Jones , Maria Bello , Grace Dover , Terrence Howard , Franklin Birch , Paul Dano , Alex Jones , Dylan Minnette , Ralph Dover , Zoë Soul , Eliza Birch , Erin Gerasimovich , Anna Dover , Kyla-Drew , Joy Birch(as Kyla-Drew Simmons) , Wayne Duvall , Captain Richard O'Malley , Len Cariou , Father Patrick Dunn , David Dastmalchian , Bob Taylor , Brad James , Officer Carter , Anthony Reynolds , Officer Wedge , Robert C. Treveiler , Forensics Guy(as Robert Treveiler) , Sandra Ellis Lafferty , Mrs. Milland","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",163,8.1,"https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
163,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,Guy Ritchie,"Jason Flemyng , Tom , Dexter Fletcher , Soap , Nick Moran , Eddy , Jason Statham , Bacon , Steven Mackintosh , Winston , Nicholas Rowe , J , Nick Marcq , Charles , Charles Forbes , Willie(as Charlie Forbes) , Vinnie Jones , Big Chris , Lenny McLean , Barry The Baptist , Peter McNicholl , Little Chris , P.H. Moriarty , Hatchet Harry , Frank Harper , Dog , Steve Sweeney , Plank , Huggy Leaver , Paul , Ronnie Fox , Mickey , Tony McMahon , John , Stephen Marcus , Nick The Greek","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",164,8.1,"https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
164,The Secret in Their Eyes,2009,2h 9m,R,Juan José Campanella,"Ricardo Darín , Benjamín Espósito , Soledad Villamil , Irene Menéndez Hastings , Pablo Rago , Ricardo Morales , Carla Quevedo , Liliana Coloto , Javier Godino , Isidoro Gómez , Bárbara Palladino , Chica Piropo , Rudy Romano , Ordóñez , Alejandro Abelenda , Pinche Mariano , Mario Alarcón , Juez Fortuna Lacalle , Guillermo Francella , Pablo Sandoval , Sebastián Blanco , Pinche Tino , Mariano Argento , Romano , José Luis Gioia , Inspector Báez , Juan José Ortíz , Agente Cardozo , Kiko Cerone , Molinari , Fernando Pardo , Sicora , Maximiliano Trento , Guardia Comisaría , Sergio Santana , Jacinto Cáceres(as Sergio López Santana)",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,165,8.2,"https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
165,Inside Out,2015,1h 35m,PG,Pete Docter,"Amy Poehler , Joy(voice) , Bill Hader , Fear(voice) , Lewis Black , Anger(voice) , Mindy Kaling , Disgust(voice) , Phyllis Smith , Sadness(voice) , Richard Kind , Bing Bong(voice) , Kaitlyn Dias , Riley(voice) , Diane Lane , Mom(voice) , Kyle MacLachlan , Dad(voice) , Paula Poundstone , Forgetter Paula(voice) , Bobby Moynihan , Forgetter Bobby(voice) , Paula Pell , Dream Director(voice)… , Dave Goelz , Subconscious Guard Frank(voice) , Frank Oz , Subconscious Guard Dave(voice) , Josh Cooley , Jangles(voice) , Flea , Mind Worker Cop Jake(voice) , John Ratzenberger , Fritz(voice) , Carlos Alazraqui , Helicopter Pilot(voice)…","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.",166,8.1,"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
166,Spider-Man: No Way Home,2021,2h 28m,PG-13,Jon Watts,"Tom Holland , Peter Parker… , Zendaya , MJ , Benedict Cumberbatch , Doctor Strange , Jacob Batalon , Ned Leeds , Jon Favreau , Happy Hogan , Jamie Foxx , Max Dillon… , Willem Dafoe , Norman Osborn… , Alfred Molina , Dr. Otto Octavius… , Benedict Wong , Wong , Tony Revolori , Flash Thompson , Marisa Tomei , May Parker , Andrew Garfield , Peter Parker… , Tobey Maguire , Peter Parker… , Angourie Rice , Betty Brant , Arian Moayed , Agent Cleary , Paula Newsome , MIT Assistant Vice Chancellor , Hannibal Buress , Coach Wilson , Martin Starr , Mr. Harrington","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",167,8.2,"https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
167,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,Martin McDonagh,"Frances McDormand , Mildred , Woody Harrelson , Willoughby , Sam Rockwell , Dixon , Caleb Landry Jones , Red Welby , Kerry Condon , Pamela , Alejandro Barrios , Latino , Clarke Peters , Abercrombie , Darrell Britt-Gibson , Jerome , Abbie Cornish , Anne , Riya May Atwood , Polly , Selah Atwood , Jane , Lucas Hedges , Robbie , Zeljko Ivanek , Desk Sergeant , Amanda Warren , Denise , Malaya Rivera Drew , Gabriella , Sandy Martin , Momma Dixon , Peter Dinklage , James , Christopher Berry , Tony",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,168,8.1,"https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
168,The Bridge on the River Kwai,1957,2h 41m,PG,David Lean,"William Holden , Shears , Alec Guinness , Colonel Nicholson , Jack Hawkins , Major Warden , Sessue Hayakawa , Colonel Saito , James Donald , Major Clipton , Geoffrey Horne , Lieutenant Joyce , André Morell , Colonel Green(as Andre Morell) , Peter Williams , Captain Reeves , John Boxer , Major Hughes , Percy Herbert , Grogan , Harold Goodwin , Baker , Ann Sears , Nurse , Heihachirô Ôkawa , Captain Kanematsu(as Henry Okawa) , Keiichirô Katsumoto , Lieutenant Miura(as Keiichiro Katsumoto, K. Katsumoto) , M.R.B. Chakrabandhu , Yai , Vilaiwan Seeboonreaung , Siamese Girl , Ngamta Suphaphongs , Siamese Girl , Javanart Punynchoti , Siamese Girl","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",169,8.1,"https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX190_CR0,6,190,281_.jpg"
169,Trainspotting,1996,1h 33m,R,Danny Boyle,"Ewan McGregor , Renton , Ewen Bremner , Spud , Jonny Lee Miller , Sick Boy , Kevin McKidd , Tommy , Robert Carlyle , Begbie , Kelly Macdonald , Diane , Peter Mullan , Swanney , James Cosmo , Mr. Renton , Eileen Nicholas , Mrs. Renton , Susan Vidler , Allison , Pauline Lynch , Lizzy , Shirley Henderson , Gail , Stuart McQuarrie , Gavin… , Irvine Welsh , Mikey Forrester , Dale Winton , Game Show Host , Keith Allen , Dealer , Kevin Allen , Andreas , Annie Louise Ross , Gail's Mother(as Ann-Louise Ross)","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",170,8.1,"https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
170,Fargo,1996,1h 38m,R,Joel Coen,"William H. Macy , Jerry Lundegaard , Frances McDormand , Marge Gunderson , Steve Buscemi , Carl Showalter , Peter Stormare , Gaear Grimsrud , Kristin Rudrüd , Jean Lundegaard , Harve Presnell , Wade Gustafson , Tony Denman , Scotty Lundegaard , Gary Houston , Irate Customer , Sally Wingert , Irate Customer's Wife , Kurt Schweickhardt , Car Salesman , Larissa Kokernot , Hooker #1 , Melissa Peterman , Hooker #2 , Steve Reevis , Shep Proudfoot(as Steven Reevis) , Warren Keith , Reilly Diefenbach(voice) , Steve Edelman , Morning Show Host , Sharon Anderson , Morning Show Hostess , Larry Brandenburg , Stan Grossman , James Gaulke , State Trooper",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,171,8.1,"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR0,0,190,281_.jpg"
171,Warrior,2011,2h 20m,PG-13,Gavin O'Connor,"Tom Hardy , Tommy Conlon , Nick Nolte , Paddy Conlon , Joel Edgerton , Brendan Conlon , Jennifer Morrison , Tess Conlon , Frank Grillo , Frank Campana , Kevin Dunn , Principal Zito , Maximiliano Hernández , Colt Boyd(as Maximiliano Hernandez) , Bryan Callen , Bryan Callen , Sam Sheridan , Sam Sheridan , Fernando Chien , Fenroy(as Fernando Funan Chien) , Jake McLaughlin , Mark Bradford , Vanessa Martinez , Pilar Fernandez , Denzel Whitaker , Stephon , Carlos Miranda , Tito , Nick Lehane , Nash , Laura Chinn , KC(as Laura Kenley) , Capri Thomas , Emily Conlon , Lexi Cowan , Rosie Conlon","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",172,8.1,"https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_QL75_UX190_CR0,6,190,281_.jpg"
172,Gran Torino,2008,1h 56m,R,Clint Eastwood,"Clint Eastwood , Walt Kowalski , Bee Vang , Thao , Christopher Carley , Father Janovich , Ahney Her , Sue , Brian Haley , Mitch Kowalski , Geraldine Hughes , Karen Kowalski , Dreama Walker , Ashley Kowalski , Brian Howe , Steve Kowalski , John Carroll Lynch , Barber Martin , William Hill , Tim Kennedy , Brooke Chia Thao , Vu , Chee Thao , Grandma , Choua Kue , Youa , Scott Eastwood , Trey(as Scott Reeves) , Xia Soua Chang , Kor Khue , Sonny Vue , Smokie , Doua Moua , Spider , Greg Trzaskoma , Bartender","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",173,8.1,"https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
173,Catch Me If You Can,2002,2h 21m,PG-13,Steven Spielberg,"Leonardo DiCaprio , Frank Abagnale Jr. , Tom Hanks , Carl Hanratty , Christopher Walken , Frank Abagnale , Martin Sheen , Roger Strong , Nathalie Baye , Paula Abagnale , Amy Adams , Brenda Strong , James Brolin , Jack Barnes , Brian Howe , Earl Amdursky , Frank John Hughes , Tom Fox , Steve Eastin , Paul Morgan , Chris Ellis , Special Agent Witkins , John Finn , Assistant Director Marsh , Jennifer Garner , Cheryl Ann , Nancy Lenehan , Carol Strong , Ellen Pompeo , Marci , Elizabeth Banks , Lucy , Guy Thauvette , Warden Garren , Candice Azzara , Darcy","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",174,8.1,"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX190_CR0,0,190,281_.jpg"
174,My Neighbor Totoro,1988,1h 26m,G,Hayao Miyazaki,"Hitoshi Takagi , Totoro(voice) , Noriko Hidaka , Satsuki(voice) , Chika Sakamoto , Mei(voice) , Shigesato Itoi , Tatsuo Kusakabe(voice) , Sumi Shimamoto , Yasuko Kusakabe(voice) , Tanie Kitabayashi , Granny(voice) , Hiroko Maruyama , Kanta's Mother(voice) , Machiko Washio , School teacher(voice) , Reiko Suzuki , Originator grandma(voice) , Masashi Hirose , Kanta's Father(voice) , Toshiyuki Amagasa , Kanta(voice) , Shigeru Chiba , Kusakari-Otoko(voice) , Naoki Tatsuta , Cat Bus(voice)… , Tarako , Additional Voices(voice) , Tomohiro Nishimura , Postal Messanger(voice) , Mitsuko Ishida , Additional Voices(voice) , Chie Kôjiro , Additional Voices(voice)(as Chie Koujiro) , Daiki Nakamura , Man on Tractor(voice)","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",175,8.1,"https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDMyZjE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR6,0,190,281_.jpg"
175,Million Dollar Baby,2004,2h 12m,PG-13,Clint Eastwood,"Hilary Swank , Maggie Fitzgerald , Clint Eastwood , Frankie Dunn , Morgan Freeman , Eddie Scrap-Iron Dupris , Jay Baruchel , Danger Barch , Mike Colter , Big Willie Little , Lucia Rijker , Billie 'The Blue Bear' , Brían F. O'Byrne , Father Horvak(as Brían O'Byrne) , Anthony Mackie , Shawrelle Berry , Margo Martindale , Earline Fitzgerald , Riki Lindhome , Mardell Fitzgerald , Michael Peña , Omar , Benito Martinez , Billie's Manager , Bruce MacVittie , Mickey Mack , David Powledge , Counterman at Diner , Joe D'Angerio , Cut Man(as Joe d'Angerio) , Marcus Chait , J.D. Fitzgerald , Tom McCleister , Lawyer , Erica Grant , Nurse","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",176,8.1,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
176,Klaus,2019,1h 36m,PG,Sergio Pablos,"Jason Schwartzman , Jesper(voice) , J.K. Simmons , Klaus(voice) , Rashida Jones , Alva(voice) , Will Sasso , Mr. Ellingboe(voice) , Neda Margrethe Labba , Márgu(voice) , Sergio Pablos , Pumpkin(voice)… , Norm MacDonald , Mogens(voice) , Joan Cusack , Mrs. Krum(voice) , Evan Agos , Ellingboe Boy(voice) , Sky Alexis , Ellingboe Girl 2(voice) , Jaeden Bettencourt , Krum Boy(voice)… , Teddy Blum , Small Ellingboe Boy(voice) , Mila Brener , Ellingboe Girl 3(voice) , Sydney Brower , Ellingboe Girl(voice) , Finn Carr , Ellingboe Boy 1(voice) , Kendall Joy Hall , Annelise(voice) , Hailey Hermida , Krum Girl 1(voice) , Lexie Holland , Additional Kids Voices(voice)","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",177,8.2,"https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
